category,topic,question,answer,keywords,priority
conditions,"Insomnia","Susah banget tidur, otak mikir terus tiap malam.","Insomnia sering disebabkan oleh gelombang otak Beta yang terlalu aktif saat harusnya masuk ke Alpha/Theta. Kami melatih 'Self-Hypnosis' khusus tidur. Anda akan diajarkan teknik mematikan 'saklar' pikiran satu per satu dari ujung kaki ke kepala. Kami juga memberikan audio terapi khusus (sleep hypnotherapy) yang didalamnya terdapat lantunan ayat suci lembut untuk didengarkan saat mau tidur.","susah tidur,insomnia,begadang,lelah",9
conditions,"Kecanduan Game Online","Anak saya kecanduan game sampai bolos sekolah.","Kecanduan game adalah pelarian dari ketidaknyamanan di dunia nyata atau kebutuhan akan dopamin instan. Terapi kami tidak langsung melarang, tapi mencari 'kebutuhan apa' yang dipenuhi game itu (pengakuan? tantangan?). Kami menggunakan teknik 'Aversion Therapy' (membuat game terasa membosankan) sekaligus membangun motivasi baru untuk aktivitas nyata. Perlu kerjasama orang tua untuk membatasi gadget di rumah.","game,kecanduan,gadget,ml,ff",9
islamic,"Hukum Hipnoterapi","Apa hukum hipnoterapi dalam Islam? Halal?","Hipnoterapi di Albashiro Insya Allah 100% Halal. Fatwa ulama memperbolehkan hipnoterapi selama: (1) Tidak menggunakan bantuan jin/khodam, (2) Tidak mengandung mantra syirik, (3) Bertujuan untuk pengobatan (ishlah). Kami murni menggunakan potensi akal dan jiwa yang dianugerahkan Allah (neuroscience & psikologi). Klien tetap sadar dan justru diarahkan untuk semakin dekat pada Allah.","halal,haram,hukum islam,syirik",10
islamic,"Dzikir Istighfar","Gimana Istighfar dipakai buat terapi?","Istighfar bukan sekadar lisan, tapi 'pembersih jiwa'. Dalam sesi 'Cleansing', klien dibimbing masuk kondisi deep trance, lalu diminta memvisualisasikan dosa, kesalahan, atau beban masa lalu sebagai noda hitam. Dengan setiap tarikan napas dan ucapan 'Astaghfirullah', klien memvisualisasikan noda itu luntur disiram cahaya Rahmat Allah. Ini memberikan efek kelegaan psikologis yang luar biasa (catharsis) dan ketenangan batin.","istighfar,taubat,cleansing,dosa",8
islamic,"Ruqyah vs Hipnoterapi","Bedanya sama Ruqyah Syar'iyyah apa?","Ruqyah Syar'iyyah fokus pada gangguan yang bersifat spiritual/ghaib atau penyakit ain dengan bacan Al-Quran. Hipnoterapi fokus pada gangguan psikologis/pola pikir/memori. Di Albashiro, kami mengintegrasikan keduanya. Jika masalahnya murni psikologis (misal: fobia), kami pakai hipnoterapi. Jika ada indikasi gangguan jin, kami sarankan Ruqyah. Namun, seringkali 'gangguan' terasa berat karena pikiran lemah, jadi hipnoterapi memperkuat jiwa agar tidak mudah diganggu.","ruqyah,jin,sihir,beda",8
islamic,"Ayat Kursi","Kenapa baca Ayat Kursi pas terapi?","Ayat Kursi adalah ayat perlindungan terkuat. Kami menggunakannya di awal sesi (Induksi) dan akhir sesi (Terminasi) sebagai 'Spiritual Anchor'. Ini memberikan sugesti kuat kepada klien bahwa mereka dalam lindungan Allah yang Maha Kuat, sehingga rasa takut atau cemas saat terapi hilang. Secara psikologis, ini meningkatkan rasa aman (security) yang krusial untuk keberhasilan terapi.","ayat kursi,lindungan,doa,bacaan",7
pricing,"Biaya Sesi Individual","Berapa biaya per sesi untuk satu orang?","Investasi untuk satu sesi hipnoterapi individual (dewasa) adalah Rp [HARGA]. Ini mencakup sesi 2 jam penuh, konsultasi mendalam, terapi inti, dan rekaman audio self-hypnosis custom untuk dibawa pulang. Kami menyarankan minimal komitmen 3 sesi untuk hasil permanen, karena pikiran butuh repetisi untuk berubah.","harga,biaya,tarif,murah",9
pricing,"Paket Hemat","Ada paket hemat kalau ambil banyak sesi?","Ada. Kami menyediakan 'Transformation Package' isi 5 sesi dengan diskon 20%. Paket ini cocok untuk masalah kompleks seperti depresi menahun, trauma berat, atau penurunan berat badan. Selain lebih hemat, mengambil paket menunjukkan komitmen Anda untuk sembuh, yang secara psikologis meningkatkan success rate terapi hingga 30%. Pembayaran bisa dicicil 2x.","paket,diskon,promo,murah",9
pricing,"Layanan Online","Bisa terapi online? Biayanya sama?","Bisa banget! Hipnoterapi via Zoom/Video Call sama efektifnya dengan tatap muka, asalkan Anda punya koneksi internet stabil dan headset. Malah banyak klien lebih rileks karena berada di kamar sendiri. Biayanya sama, karena durasi dan keahlian terapis yang digunakan tetap sama. Kelebihannya, Anda hemat waktu dan ongkos perjalanan.","online,zoom,jarak jauh,biaya",8
pricing,"Corporate/Group","Bisa buat kantor atau grup karyawan?","Bisa. Kami memiliki program 'Corporate Wellness' untuk mengatasi stres kerja, burnout, atau meningkatkan sales performance. Formatnya bisa workshop sehari atau sesi grup relaksasi. Biaya mulai dari Rp [HARGA] per pax untuk grup minimal 10 orang. Ini investasi bagus untuk produktivitas perusahaan karena karyawan yang bahagia adalah karyawan yang produktif.","kantor,grup,corporate,karyawan",7
policies,"Cara Booking","Gimana cara daftar antriannya?","Booking wajib dilakukan minimal H-1. Silakan isi form pendaftaran di website atau WA admin kami. Anda perlu membayar Down Payment (DP) sebesar 50% untuk mengunci jadwal. Ini penting karena satu sesi memakan waktu 2 jam, jadi kami harus memastikan slot tersebut benar-benar terisi. Jadwal weekend biasanya penuh 2 minggu sebelumnya, jadi saran kami booking jauh hari.","daftar,booking,cara,reservasi",8
policies,"Kebijakan Batal","Kalau batal mendadak hangus gak uangnya?","Jika pembatalan dilakukan lebih dari 24 jam sebelum jadwal, DP bisa direfund 100% atau reschedule gratis. Jika pembatalan dilakukan di bawah 24 jam (mendadak), mohon maaf DP hangus sebagai kompensasi waktu terapis yang terbuang. Namun, untuk kondisi darurat (sakit keras, musibah), kami berikan toleransi reschedule 1x tanpa biaya tambahan. Fair kan?","batal,cancel,refund,uang kembali",8
policies,"Privasi Data","Rahasia saya aman gak? Takut bocor.","Privasi Anda adalah harga mati bagi kami. Albashiro memegang teguh Kode Etik Hipnoterapi. Semua data rekam medis, cerita aib, atau pengakuan selama sesi dijamin 100% RAHASIA dan tidak akan dibagikan ke siapapun (termasuk pasangan/orang tua) tanpa izin tertulis dari Anda, kecuali ada indikasi yang membahayakan nyawa. Kami menggunakan sistem database terenkripsi untuk keamanan data digital.","rahasia,privasi,aman,bocor",10
process,"Tahap Anamnesis","Apa yang dilakukan pas awal datang?","Tahap pertama adalah Anamnesis atau wawancara mendalam. Di sini kita ngobrol santai tapi terarah. Terapis akan menggali akar masalah, pola pikir, dan tujuan Anda. Ini bukan sekadar curhat, tapi kami memetakan 'peta mental' Anda. Kejujuran Anda di tahap ini sangat menentukan keberhasilan terapi. Jangan khawatir, kami tidak menghakimi (non-judgmental).","awal,konsultasi,wawancara,anamnesis",7
process,"Induksi","Susah gak sih dihipnotis?","Gak susah kok. Induksi adalah proses membimbing Anda dari gelombang otak Beta (sadar penuh) ke Alpha/Theta (rileks). Caranya macam-macam, bisa dengan fokus napas, relaksasi otot, atau visualisasi turun tangga. Kuncinya cuma satu: 'Niat dan Pasrah'. Kalau Anda berniat sembuh dan mengikuti arahan terapis tanpa menganalisa, Anda akan masuk kondisi trance dengan sangat mudah dan nikmat.","masuk,trance,induksi,susah",8
process,"Teknik NLP","Katanya pakai NLP juga, itu apa?","NLP (Neuro-Linguistic Programming) adalah teknologi pikiran untuk memprogram ulang respon otak. Contoh: Jika Anda takut public speaking, kami pakai teknik 'Swish Pattern'. Kami ambil gambar mental Anda yang takut, lalu 'timpa' dengan gambar mental Anda yang percaya diri secara cepat dan berulang. Otak akan 'bingung' dan akhirnya memilih gambar yang percaya diri sebagai default baru. Ini sangat efektif dan cepat.","nlp,teknik,metode,program",7
process,"Self-Hypnosis","Saya diajarin cara terapi sendiri gak?","Pasti! Tujuan Albashiro adalah memandirikan klien. Di setiap sesi, kami mengajarkan teknik Self-Hypnosis sederhana. Misalnya teknik '3 Jari' (Anchor) untuk memanggil rasa tenang kapan saja. Anda juga akan diajarkan cara membuat sugesti (afirmasi) yang benar supaya bisa memprogram diri sendiri di rumah sebelum tidur. Anda jadi terapis buat diri sendiri.","sendiri,mandiri,belajar,rumah",8
age_specific,"Anak (5-12 Tahun)","Anak saya susah diatur, bisa diterapi?","Untuk anak usia 5-12 tahun, pendekatan kami beda. Kami tidak suruh mereka 'tidur', tapi bermain lewat cerita (storytelling) dan imajinasi. Dunia anak adalah dunia Alpha (imajinatif), jadi mereka sebenarnya subjek hipnosis terbaik. Kami selipkan pesan moral dan perubahan perilaku lewat dongeng di mana si anak jadi pahlawannya. Orang tua wajib ikut sesi konseling awal untuk menyamakan pola asuh di rumah.","anak,kecil,nakal,susah diatur",9
age_specific,"Remaja (13-18 Tahun)","Remaja pemberontak dan tertutup, gimana pendekatannya?","Remaja butuh didengar, bukan diceramahi. Terapis kami memposisikan diri sebagai 'sahabat mentor'. Kami masuk ke dunia mereka (bahasa gaul, minat mereka) untuk membangun kepercayaan (rapport). Isu remaja biasanya seputar identitas, bullying, atau akademik. Hipnoterapi membantu meningkatkan 'Self-Worth' mereka sehingga tidak mudah terpengaruh lingkungan buruk. Privasi mereka sangat kami jaga agar mereka mau terbuka.","remaja,abg,pemberontak,sekolah",9
age_specific,"Lansia (60+)","Orang tua saya sering cemas mikirin mati.","Ini umum terjadi pada lansia (Thanatophobia). Kami menggunakan pendekatan Spiritual Hypnotherapy yang lembut. Fokusnya adalah 'Penerimaan' (Acceptance) dan 'Persiapan Jiwa'. Kami membimbing mereka untuk berdamai dengan masa lalu (memaafkan semua orang) dan melihat kematian sebagai fase indah 'Pulang' kepada Sang Kekasih (Allah). Dzikir napas sangat membantu menenangkan jantung dan pikiran mereka.","tua,lansia,mati,cemas",8
research,"Efektivitas","Ada bukti ilmiahnya gak sih hipnoterapi ini?","Banyak. Jurnal *American Health Magazine* merilis studi perbandingan: Psikoanalisis 38% sembuh (600 sesi), Behavior Therapy 72% sembuh (22 sesi), sedangkan **Hipnoterapi 93% sembuh hanya dalam 6 sesi**. Studi neuroimaging (MRI) juga menunjukkan saat trance, area otak yang memproses rasa sakit dan emosi menjadi lebih tenang, memungkinkan 're-wiring' saraf otak (neuroplasticity) terjadi lebih cepat.","ilmiah,bukti,riset,jurnal",8
myths,"Mitos: Hilang Kesadaran","Takut nanti gak sadar terus rahasia terbongkar.","Ini mitos terbesar. Hipnotis TIDAK bikin pingsan atau tidur. Anda sadar 100%, bahkan fokus Anda meningkat tajam. Anda tetap punya kontrol penuh. Jika terapis minta password ATM atau hal yang bertentangan moral Anda, 'Critical Factor' di otak Anda akan langsung menolak dan Anda akan terbangun. Anda hanya akan menceritakan apa yang memang INGIN Anda ceritakan.","mitos,sadar,pingsan,kontrol",9
myths,"Mitos: Permanen","Apa hasilnya permanen atau bisa kambuh?","Hasil hipnoterapi cenderung permanen karena kita mengubah 'software' di akarnya. Ibarat komputer yang sudah di-install ulang, virusnya hilang. NAMUN, manusia itu dinamis. Jika setelah sembuh Anda kembali ke lingkungan toxic yang sama tanpa menjaga 'imun mental' (ibadah, pola pikir), bisa saja muncul masalah baru. Makanya kami bekali dengan Self-Hypnosis untuk maintenance seumur hidup.","permanen,kambuh,hasil,awet",9
special,"Ibu Hamil (Hypnobirthing)","Bisa bantu biar melahirkan gak sakit?","Bisa, metodenya disebut Hypnobirthing. Kami melatih ibu hamil untuk masuk kondisi relaksasi dalam hitungan detik. Prinsipnya: Takut = Tegang = Sakit. Dengan menghilangkan rasa takut dan melatih otot rahim untuk rileks, proses melahirkan bisa jauh lebih nyaman, cepat, dan minim rasa sakit (bahkan tanpa sakit). Kami juga menanamkan ikatan batin (bonding) dengan janin sejak dalam kandungan.","hamil,melahirkan,sakit,bumil",8
special,"Public Speaking","Besok mau presentasi penting, gugup banget!","Untuk kebutuhan mendesak, kami punya sesi 'Power Confidence'. Kami akan melakukan teknik 'Circle of Excellence'. Anda diminta mengingat momen paling percaya diri dalam hidup, lalu emosi itu 'jangkarkan' ke gerakan tangan tertentu. Besok saat presentasi, cukup lakukan gerakan itu, dan otak akan membanjiri tubuh dengan hormon percaya diri. Kami juga visualisasikan presentasi Anda berjalan sukses berkali-kali sampai otak percaya itu nyata.","bicara,pidato,presentasi,gugup",8
special,"Berhenti Merokok","Mau berhenti merokok tapi susah banget.","Rokok itu 10% kecanduan nikotin, 90% kebiasaan psikologis (tangan iseng, teman ngopi, buang stres). Hipnoterapi memutus asosiasi 'Rokok = Enak/Tenang'. Kami ganti persepsi di bawah sadar bahwa 'Rokok = Racun/Menjijikkan'. Seringkali klien langsung mual atau terasa pahit saat mencoba merokok setelah sesi pertama. Success rate tinggi jika NIAT dari diri sendiri, bukan disuruh istri/suami.","rokok,berhenti,smoking,paru",9
conditions,"Weight Loss (Langsing)","Diet selalu gagal, bisa bantu kurus?","Hypnoslimming bukan diet ketat, tapi mengubah 'Mindset Makan'. Kami memprogram ulang bawah sadar untuk: (1) Berhenti makan saat kenyang (Stop signal), (2) Tidak 'Emotional Eating' (makan saat stres/bosan), (3) Craving makanan sehat. Tanpa obat, tanpa siksaan. Anda akan otomatis memilih makanan sehat karena 'ingin', bukan karena 'terpaksa'. Berat badan turun alami dan stabil.","kurus,langsing,diet,gendut",8
conditions,"Disfungsi Seksual (Psikologis)","Punya masalah ranjang karena cemas, bisa?","Bisa, selama sudah cek medis dan dokter bilang fisik normal (penyebab psikologis). Kecemasan performa (Performance Anxiety) sering jadi biang kerok impoten atau ejakulasi dini psikogenik. Kami bantu rilekskan pikiran, buang trauma masa lalu, dan bangun kepercayaan diri. Privasi dijamin super ketat untuk kasus sensitif seperti ini. Terapi bisa dilakukan tanpa menyentuh area sensitif sama sekali.","seks,lemah,cemas,pasutri",7
islamic,"Qolbun Salim","Apa goal akhir terapi secara Islam?","Goal akhirnya adalah mencapai *Qolbun Salim* (Hati yang Selamat/Sehat). Bukan sekadar bebas dari cemas/depresi, tapi memiliki hati yang tenang, ridho dengan takdir Allah, dan optimis menatap masa depan. Terapi Albashiro adalah ikhtiar membersihkan cermin hati dari debu-debu masalah duniawi agar bisa memantulkan cahaya Ilahi dengan sempurna. Sembuh mental, bangkit spiritual.","hati,sehat,tujuan,akhirat",9
faq_general,"Persiapan Sesi","Apa yang harus disiapkan sebelum datang?","(1) Niat yang kuat untuk sembuh. (2) Istirahat cukup, jangan begadang malam sebelumnya. (3) Jangan makan terlalu kenyang (bikin ngantuk) atau perut kosong (bikin gak fokus). (4) Kenakan pakaian yang longgar dan nyaman. (5) Matikan HP selama sesi. (6) Datang 15 menit lebih awal agar napas sudah tenang saat sesi dimulai.","siap,bawa,baju,makan",7
special,"Mahasiswa Skripsi","Stres ngerjain skripsi, jadi nunda terus (procrastination).","Procrastination (menunda) sebenarnya adalah rasa takut: takut gagal, takut salah, atau takut dinilai dosen. Kami bantu bongkar blok mental 'Writer's Block' ini. Kami tanamkan sugesti 'Flow State' di mana saat Anda buka laptop, ide mengalir lancar. Kami juga ubah persepsi 'Skripsi = Beban' menjadi 'Skripsi = Tiket Kesuksesan'. Semangat Anda akan balik lagi!","skripsi,malas,nunda,kuliah",8
conditions,"OCD (Was-was)","Saya harus cek kunci pintu 10x baru tenang.","Itu gejala OCD (Obsessive-Compulsive Disorder) atau dalam Islam penyakit 'Was-was'. Penderitanya tersiksa oleh pikiran berulang. Terapi kami memutus loop 'Obsesi -> Kompulsi'. Kami ajarkan teknik 'Stop Thought' dan menunda respon. Secara spiritual, kami perkuat keyakinan bahwa 'Satu kali cek dengan Bismillah sudah cukup', menyerahkan sisanya pada penjagaan Allah (Tawakkal).","ocd,cek,ulang,waswas",8
conditions,"Gerd & Psikosomatis","Kata dokter lambung saya bagus, tapi sakit terus.","Itu klasik Psikosomatis. Emosi yang dipendam (marah/sedih) tidak bisa keluar lewat mulut, akhirnya 'menyerang' organ tubuh (seringnya lambung/kepala). Obat dokter hanya meredakan gejala fisik. Hipnoterapi menyembuhkan 'luka batin' penyebabnya. Saat emosi negatif dirilis (biasanya lewat nangis saat terapi), ajaibnya sakit lambung (GERD) seringkali sembuh total tanpa obat lagi.","gerd,lambung,maag,fisik",9
pricing,"Refund Policy","Kalau gak sembuh uang kembali?","Dalam dunia medis dan terapi, kode etik melarang garansi kesembuhan karena kesembuhan adalah hak prerogatif Allah dan tergantung kerjasama klien. Kami menjamin 'Garansi Layanan': Terapis kami akan memberikan usaha 100% terbaik, teknik yang tepat, dan waktu yang full. Anda membayar untuk waktu dan keahlian profesional terapis, bukan hasil akhir yang di luar kendali manusia.","garansi,uang,kembali,jamin",7
process,"Pasca Terapi","Habis terapi rasanya gimana?","Umumnya Anda akan merasa sangat 'Plong', ringan, seperti beban berat diangkat dari pundak. Badan mungkin terasa sedikit lelah (seperti habis olahraga) karena pelepasan emosi menguras energi, tapi pikiran sangat jernih. Malamnya biasanya tidur sangat nyenyak. Beberapa orang mengalami 'Healing Crisis' (emosi naik turun) selama 1-2 hari, itu wajar tanda proses detoks mental sedang bekerja.","rasa,hasil,efek,setelah",8
islamic,"Sholat Khusyuk","Bisa bantu biar sholat lebih khusyuk?","Bisa. Ketidakkhusyukan sering karena 'Monkey Mind' (pikiran loncat-loncat). Kami latih fokus Anda dengan teknik 'Mindfulness' yang diadaptasi secara Islami. Kami bantu Anda masuk kondisi Alpha sebelum Takbiratul Ihram, sehingga dunia luar 'mute' dan Anda hanya fokus pada dialog dengan Allah. Klien sering menangis haru saat sholat setelah menjalani sesi ini.","sholat,ibadah,fokus,khusyuk",8
category,topic,question,answer,keywords,priority
conditions,"Phobia: Trypanophobia (Jarum Suntik)","Saya takut banget disuntik atau lihat jarum, sampai pingsan.","Trypanophobia sangat umum. Kami menggunakan teknik 'Dissociation', di mana Anda dilatih untuk memisahkan sensasi fisik dari respon emosional. Dalam kondisi trance, kami mensugestikan bahwa lengan Anda menjadi 'kebas' atau 'dingin seperti es' (anestesi mental), sehingga saat jarum masuk, rasanya netral. Sangat efektif untuk persiapan vaksinasi atau tes darah.","jarum,suntik,dokter,vaksin",8
conditions,"Phobia: Claustrophobia (Ruang Sempit)","Gak berani naik lift atau masuk ruang sempit (Claustrophobia).","Claustrophobia memicu rasa tercekik. Terapi kami fokus meluaskan persepsi ruang internal. Meski fisik di ruang sempit, pikiran Anda dilatih untuk merasa berada di padang rumput luas (Mental Expansion). Kami juga merilis trauma masa lalu (mungkin pernah terkunci) yang menjadi akar masalahnya.","sempit,lift,tutup,sesak",8
conditions,"Phobia: Glossophobia (Bicara Depan Umum)","Badan gemetar dan blank saat harus bicara di depan orang banyak.","Glossophobia diatasi dengan 'Circle of Excellence'. Kami memprogram ulang respon saraf Anda. Alih-alih 'Takut = Bahaya', kami ubah menjadi 'Gugup = Energi/Adrenalin Positif'. Kami visualisasikan Anda sukses presentasi berkali-kali di bawah sadar, sehingga saat hari-H, otak merasa 'ini sudah biasa'.","bicara,pidato,gugup,panggung",9
conditions,"Phobia: Aviophobia (Takut Terbang)","Besok harus dinas luar kota tapi takut naik pesawat.","Aviophobia seringkali karena takut kehilangan kendali dan suara mesin. Kami berikan audio terapi khusus untuk didengarkan di pesawat. Tekniknya meliputi relaksasi otot progresif saat take-off dan mengubah persepsi guncangan turbulensi menjadi seperti 'ayunan bayi' yang menenangkan, bukan tanda bahaya.","pesawat,terbang,bandara,jatuh",8
conditions,"Phobia: Arachnophobia (Laba-laba)","Histeris kalau lihat laba-laba atau serangga.","Kami menggunakan teknik 'Visual Swish'. Bayangan laba-laba yang menyeramkan di otak Anda akan dikecilkan ukurannya menjadi hitam putih, lalu diberi musik latar lucu (seperti sirkus), sehingga respon otak berubah dari takut menjadi geli atau netral. Ini memutus jalur saraf ketakutan secara instan.","laba-laba,serangga,jijik,takut",7
conditions,"Phobia: Nyctophobia (Gelap)","Anak saya gak berani tidur sendiri kalau lampu mati.","Nyctophobia pada anak diatasi dengan teknik 'Magic Protector'. Dalam kondisi alpha, kami ajak anak menciptakan pelindung imajiner atau menghadirkan rasa aman dari Allah (Malaikat Penjaga). Kami ubah persepsi 'Gelap = Ada Hantu' menjadi 'Gelap = Waktunya Istirahat Nyaman'.","gelap,lampu,hantu,tidur",8
conditions,"Phobia: Hemophobia (Darah)","Lihat darah sedikit langsung lemas dan mual.","Hemophobia terkait respon vasovagal. Hipnoterapi melatih tubuh untuk tetap menjaga tekanan darah stabil saat melihat visual darah. Kami desensitisasi bertahap: dari membayangkan warna merah, melihat gambar, hingga visualisasi darah realistik, sambil mempertahankan kondisi rileks total.","darah,luka,merah,pingsan",7
conditions,"Phobia: Emetophobia (Muntah)","Takut banget kalau mau muntah atau lihat orang muntah.","Emetophobia sering membuat orang takut makan (takut keracunan). Terapi fokus pada 'Trust your Body'. Kami tanamkan sugesti bahwa tubuh punya mekanisme cerdas dan muntah adalah proses pembersihan, bukan bahaya. Kami kurangi hiper-vigilance (kewaspadaan berlebih) terhadap sensasi perut.","muntah,mual,jijik,sakit",7
conditions,"Phobia: Astraphobia (Petir)","Ketakutan berlebihan saat hujan deras dan petir.","Astraphobia diatasi dengan mengubah asosiasi suara. Suara guntur yang menggelegar di-reframe (bingkai ulang) menjadi suara tepuk tangan alam atau dzikir semesta. Klien diajarkan anchor ketenangan di dada yang diaktifkan setiap kali melihat kilatan cahaya.","petir,hujan,badai,kilat",7
conditions,"Phobia: Dentophobia (Dokter Gigi)","Gigi sakit tapi takut ke dokter gigi.","Dentophobia bisa menghambat kesehatan. Kami gunakan 'Hypno-Anesthesia' (bius mental). Anda diajarkan cara mematikan rasa sakit di gusi secara mental dan mengalihkan fokus pikiran ke tempat liburan favorit saat dokter bekerja. Suara bor dokter disugestikan sebagai suara background yang tidak mengganggu.","gigi,dokter,bor,sakit",8
conditions,"Habit: Gigit Kuku (Onychophagia)","Susah berhenti gigit kuku sampai berdarah.","Gigit kuku adalah respon bawah sadar terhadap stres atau kebosanan. Kami gunakan 'Aversion Therapy': mensugestikan rasa pahit yang luar biasa di lidah setiap kali jari mendekat ke mulut. Sekaligus, kami berikan alternatif gerakan tangan baru (seperti menyatukan jari) sebagai penyalur stres yang lebih sehat.","kuku,gigit,jorok,kebiasaan",8
conditions,"Habit: Mencabut Rambut (Trichotillomania)","Suka tanpa sadar cabutin rambut atau alis.","Trichotillomania adalah gangguan kontrol impuls. Hipnoterapi membantu meningkatkan kesadaran (awareness) tepat sebelum tangan menyentuh rambut. Kami mencari akar kecemasan yang memicu impuls ini dan menyelesaikannya. Teknik 'Hand Anchor' digunakan untuk membekukan tangan secara mental saat ingin mencabut.","rambut,cabut,botak,alis",8
