category,topic,question,answer,keywords,priority
myths,"Mitos: Kehilangan Ingatan","Apakah hipnosis menyebabkan lupa ingatan?","MITOS. Anda akan mengingat sebagian besar atau seluruh sesi. Hipnosis justru dapat meningkatkan recall memory, bukan menghapus ingatan.","mitos,myths,ingatan",7
research,"Studi Efektivitas","Apakah ada penelitian tentang hipnoterapi?","Banyak studi peer-reviewed menunjukkan efektivitas hipnoterapi. Meta-analysis tahun 2020 menunjukkan success rate 70-90% untuk anxiety, phobia, dan trauma.","research,studi,evidence",7
special,"Hipnoterapi Saat Hamil","Apakah aman untuk ibu hamil?","Ya, sangat aman dan bahkan direkomendasikan. Hypnobirthing membantu persiapan melahirkan, mengurangi anxiety, dan manajemen nyeri tanpa obat.","hamil,pregnancy,hypnobirthing",7
faq_general,"Definisi Hipnoterapi","Apa itu hipnoterapi?","Hipnoterapi adalah metode terapi yang menggunakan kondisi hipnosis (trance) untuk membantu mengatasi berbagai masalah psikologis dan perilaku. Dalam kondisi trance, pikiran bawah sadar lebih terbuka untuk menerima sugesti positif dan perubahan.","hipnoterapi,definisi,pengertian",10
faq_general,"Hipnoterapi Islami","Apa itu hipnoterapi Islami?","Hipnoterapi Islami menggabungkan teknik hipnoterapi modern dengan nilai-nilai spiritual Islam. Menggunakan dzikir, doa, dan ayat Al-Quran dalam proses terapi untuk kesembuhan holistik jasmani dan rohani.","hipnoterapi islami,spiritual,dzikir",10
faq_general,"Kondisi Trance","Apa itu kondisi trance?","Trance adalah kondisi kesadaran yang berubah dimana pikiran sangat fokus dan rileks. Seperti saat Anda sangat fokus membaca hingga tidak sadar waktu berlalu. Dalam hipnoterapi, kondisi ini digunakan untuk terapi.","trance,kondisi,hipnosis",8
faq_general,"Sejarah Hipnoterapi","Sejak kapan hipnoterapi ada?","Hipnoterapi modern dimulai abad ke-18 dengan Franz Mesmer, dikembangkan oleh James Braid dan Milton Erickson. Kini diakui secara medis dan digunakan di banyak negara.","sejarah,history,perkembangan",6
faq_general,Keamanan,"Apakah hipnoterapi aman?","Ya, sangat aman bila dilakukan terapis profesional. Klien tetap sadar penuh dan memiliki kontrol diri. Tidak ada efek samping berbahaya.","aman,keamanan,safety",10
faq_general,"Kontrol Diri","Apakah saya kehilangan kontrol?","Tidak. Anda tetap memiliki kontrol penuh. Terapis hanya memandu. Anda tidak akan melakukan hal yang bertentangan dengan nilai Anda.","kontrol,kendali",9
faq_general,Rahasia,"Apakah saya akan membocorkan rahasia?","Tidak. Anda tetap memiliki filter moral dan tidak akan mengungkapkan hal yang tidak ingin Anda bagikan.","rahasia,privasi",8
faq_general,Kesadaran,"Apakah saya akan sadar?","Ya, tetap sadar penuh. Dapat mendengar, berpikir, dan merespons. Hipnosis bukan tidur, melainkan fokus yang sangat dalam.","sadar,kesadaran",9
faq_general,"Efek Samping","Ada efek samping?","Tidak ada efek samping berbahaya. Beberapa mungkin merasa sedikit lelah setelah sesi (normal, hilang dalam 1-2 jam).","efek samping,side effect",8
faq_general,"Durasi Sesi pendek","Berapa lama sesi pendek?","Sesi pendek berlangsung 60 menit. Mencakup konsultasi awal, proses hipnosis, terapi, dan evaluasi. Sesi pertama biasanya lebih lama karena ada anamnesis.","durasi,lama,pendek,waktu",7
faq_general,"Durasi Sesi standar","Berapa lama sesi standar?","Sesi standar berlangsung 90 menit. Mencakup konsultasi awal, proses hipnosis, terapi, dan evaluasi. Sesi pertama biasanya lebih lama karena ada anamnesis.","durasi,lama,standar,waktu",7
faq_general,"Durasi Sesi panjang","Berapa lama sesi panjang?","Sesi panjang berlangsung 120 menit. Mencakup konsultasi awal, proses hipnosis, terapi, dan evaluasi. Sesi pertama biasanya lebih lama karena ada anamnesis.","durasi,lama,panjang,waktu",7
faq_general,"Jumlah Sesi Ringan","Berapa sesi untuk masalah ringan?","Masalah ringan biasanya 1-3 sesi. Beberapa klien merasakan perubahan setelah sesi pertama.","jumlah sesi,ringan",7
faq_general,"Jumlah Sesi Sedang","Berapa sesi untuk masalah sedang?","Masalah sedang biasanya 3-5 sesi untuk hasil optimal.","jumlah sesi,sedang",7
faq_general,"Jumlah Sesi Kompleks","Berapa sesi untuk masalah kompleks?","Masalah kompleks biasanya 5-10 sesi. Terapis akan memberikan rekomendasi setelah sesi pertama.","jumlah sesi,kompleks",7
faq_general,"Interval Sesi Ideal","Berapa jarak antar sesi?","Ideal 1-2 minggu antar sesi untuk memberi waktu pikiran bawah sadar memproses perubahan.","interval,jarak waktu",6
faq_general,"Biaya anak","Berapa biaya untuk anak?","Untuk klien anak (5-12 tahun), biaya Rp 500.000 per sesi. Pendekatan disesuaikan dengan karakteristik usia, mencakup child-friendly.","biaya,harga,anak,cost",8
faq_general,"Pendekatan anak","Bagaimana pendekatan untuk anak?","Untuk anak (5-12 tahun), kami menggunakan pendekatan child-friendly yang disesuaikan dengan kebutuhan dan karakteristik usia tersebut.","pendekatan,anak,metode",6
faq_general,"Biaya remaja","Berapa biaya untuk remaja?","Untuk klien remaja (13-18 tahun), biaya Rp 500.000 per sesi. Pendekatan disesuaikan dengan karakteristik usia, mencakup teen issues.","biaya,harga,remaja,cost",8
faq_general,"Pendekatan remaja","Bagaimana pendekatan untuk remaja?","Untuk remaja (13-18 tahun), kami menggunakan pendekatan teen issues yang disesuaikan dengan kebutuhan dan karakteristik usia tersebut.","pendekatan,remaja,metode",6
faq_general,"Biaya dewasa","Berapa biaya untuk dewasa?","Untuk klien dewasa (18-60 tahun), biaya Rp 500.000-600.000 per sesi. Pendekatan disesuaikan dengan karakteristik usia, mencakup adult problems.","biaya,harga,dewasa,cost",8
faq_general,"Pendekatan dewasa","Bagaimana pendekatan untuk dewasa?","Untuk dewasa (18-60 tahun), kami menggunakan pendekatan adult problems yang disesuaikan dengan kebutuhan dan karakteristik usia tersebut.","pendekatan,dewasa,metode",6
faq_general,"Biaya lansia","Berapa biaya untuk lansia?","Untuk klien lansia (60+ tahun), biaya Rp 500.000 per sesi. Pendekatan disesuaikan dengan karakteristik usia, mencakup elderly care.","biaya,harga,lansia,cost",8
faq_general,"Pendekatan lansia","Bagaimana pendekatan untuk lansia?","Untuk lansia (60+ tahun), kami menggunakan pendekatan elderly care yang disesuaikan dengan kebutuhan dan karakteristik usia tersebut.","pendekatan,lansia,metode",6
faq_general,"Transfer Bank","Bisa transfer bank?","Ya, kami terima transfer Bank (BCA, Mandiri, BNI, BRI). Detail rekening diberikan saat konfirmasi booking.","transfer,bank,pembayaran",7
faq_general,E-Wallet,"Bisa pakai e-wallet?","Ya, kami terima E-wallet (OVO, GoPay, Dana, ShopeePay, LinkAja).","e-wallet,digital payment",7
faq_general,Cash,"Bisa bayar cash?","Ya, pembayaran cash di tempat untuk sesi offline di klinik.","cash,tunai,pembayaran",7
conditions,GAD,"Bisa mengatasi Kecemasan Umum?","Ya, hipnoterapi sangat efektif untuk Kecemasan Umum (kecemasan berlebihan tanpa sebab jelas). Terapi membantu mengidentifikasi akar masalah, mengubah pola pikir negatif, mengajarkan teknik relaksasi, dan memprogram ulang respons. Success rate 75-85%.","GAD,anxiety disorder",9
conditions,"Panic Disorder","Bisa mengatasi Panic Attack?","Ya, hipnoterapi sangat efektif untuk Panic Attack (serangan panik mendadak dengan jantung berdebar). Terapi membantu mengidentifikasi akar masalah, mengubah pola pikir negatif, mengajarkan teknik relaksasi, dan memprogram ulang respons. Success rate 75-85%.","panic,serangan panik",8
conditions,"Social Anxiety","Bisa mengatasi Fobia Sosial?","Ya, hipnoterapi sangat efektif untuk Fobia Sosial (ketakutan berinteraksi sosial). Terapi membantu mengidentifikasi akar masalah, mengubah pola pikir negatif, mengajarkan teknik relaksasi, dan memprogram ulang respons. Success rate 75-85%.","social anxiety,fobia sosial",8
conditions,"Health Anxiety","Bisa mengatasi Kecemasan Kesehatan?","Ya, hipnoterapi sangat efektif untuk Kecemasan Kesehatan (kecemasan berlebihan tentang kesehatan). Terapi membantu mengidentifikasi akar masalah, mengubah pola pikir negatif, mengajarkan teknik relaksasi, dan memprogram ulang respons. Success rate 75-85%.","health anxiety,hypochondria",7
conditions,Acrophobia,"Bisa mengatasi fobia ketinggian?","Ya, Acrophobia (fobia ketinggian) sangat responsif terhadap hipnoterapi. Terapi menggunakan desensitisasi sistem atis, reframing, dan visualisasi. Success rate 85-90%. Biasanya 3-5 sesi sudah menunjukkan perbaikan signifikan.","Acrophobia,fobia ketinggian,heights",7
conditions,Agoraphobia,"Bisa mengatasi fobia ruang terbuka?","Ya, Agoraphobia (fobia ruang terbuka) sangat responsif terhadap hipnoterapi. Terapi menggunakan desensitisasi sistem atis, reframing, dan visualisasi. Success rate 85-90%. Biasanya 3-5 sesi sudah menunjukkan perbaikan signifikan.","Agoraphobia,fobia ruang terbuka,open spaces",7
conditions,Claustrophobia,"Bisa mengatasi fobia ruang sempit?","Ya, Claustrophobia (fobia ruang sempit) sangat responsif terhadap hipnoterapi. Terapi menggunakan desensitisasi sistem atis, reframing, dan visualisasi. Success rate 85-90%. Biasanya 3-5 sesi sudah menunjukkan perbaikan signifikan.","Claustrophobia,fobia ruang sempit,enclosed spaces",7
conditions,Arachnophobia,"Bisa mengatasi fobia laba-laba?","Ya, Arachnophobia (fobia laba-laba) sangat responsif terhadap hipnoterapi. Terapi menggunakan desensitisasi sistem atis, reframing, dan visualisasi. Success rate 85-90%. Biasanya 3-5 sesi sudah menunjukkan perbaikan signifikan.","Arachnophobia,fobia laba-laba,spiders",7
conditions,Ophidiophobia,"Bisa mengatasi fobia ular?","Ya, Ophidiophobia (fobia ular) sangat responsif terhadap hipnoterapi. Terapi menggunakan desensitisasi sistem atis, reframing, dan visualisasi. Success rate 85-90%. Biasanya 3-5 sesi sudah menunjukkan perbaikan signifikan.","Ophidiophobia,fobia ular,snakes",7
conditions,Aviophobia,"Bisa mengatasi fobia terbang?","Ya, Aviophobia (fobia terbang) sangat responsif terhadap hipnoterapi. Terapi menggunakan desensitisasi sistem atis, reframing, dan visualisasi. Success rate 85-90%. Biasanya 3-5 sesi sudah menunjukkan perbaikan signifikan.","Aviophobia,fobia terbang,flying",7
conditions,Trypanophobia,"Bisa mengatasi fobia jarum suntik?","Ya, Trypanophobia (fobia jarum suntik) sangat responsif terhadap hipnoterapi. Terapi menggunakan desensitisasi sistem atis, reframing, dan visualisasi. Success rate 85-90%. Biasanya 3-5 sesi sudah menunjukkan perbaikan signifikan.","Trypanophobia,fobia jarum suntik,needles",7
conditions,Mysophobia,"Bisa mengatasi fobia kuman?","Ya, Mysophobia (fobia kuman) sangat responsif terhadap hipnoterapi. Terapi menggunakan desensitisasi sistem atis, reframing, dan visualisasi. Success rate 85-90%. Biasanya 3-5 sesi sudah menunjukkan perbaikan signifikan.","Mysophobia,fobia kuman,germs",7
conditions,Cynophobia,"Bisa mengatasi fobia anjing?","Ya, Cynophobia (fobia anjing) sangat responsif terhadap hipnoterapi. Terapi menggunakan desensitisasi sistem atis, reframing, dan visualisasi. Success rate 85-90%. Biasanya 3-5 sesi sudah menunjukkan perbaikan signifikan.","Cynophobia,fobia anjing,dogs",7
conditions,Aquaphobia,"Bisa mengatasi fobia air?","Ya, Aquaphobia (fobia air) sangat responsif terhadap hipnoterapi. Terapi menggunakan desensitisasi sistem atis, reframing, dan visualisasi. Success rate 85-90%. Biasanya 3-5 sesi sudah menunjukkan perbaikan signifikan.","Aquaphobia,fobia air,water",7
conditions,"Insomnia Kronik","Bisa mengatasi Insomnia Kronik?","Ya, hipnoterapi efektif untuk Insomnia Kronik (susah tidur berkepanjangan lebih dari 3 bulan). Terapi membantu mengidentifikasi penyebab, mengajarkan sleep hygiene, memprogram ulang pola tidur, dan self-hypnosis untuk relaksasi. Banyak klien merasakan perbaikan setelah 2-4 sesi.","insomnia,kronik,tidur,sleep",7
conditions,"Sleep Onset Insomnia","Bisa mengatasi Sleep Onset Insomnia?","Ya, hipnoterapi efektif untuk Sleep Onset Insomnia (sulit memulai tidur malam). Terapi membantu mengidentifikasi penyebab, mengajarkan sleep hygiene, memprogram ulang pola tidur, dan self-hypnosis untuk relaksasi. Banyak klien merasakan perbaikan setelah 2-4 sesi.","sleep,onset,insomnia,tidur,sleep",7
conditions,"Sleep Maintenance Insomnia","Bisa mengatasi Sleep Maintenance Insomnia?","Ya, hipnoterapi efektif untuk Sleep Maintenance Insomnia (sering terbangun di malam hari). Terapi membantu mengidentifikasi penyebab, mengajarkan sleep hygiene, memprogram ulang pola tidur, dan self-hypnosis untuk relaksasi. Banyak klien merasakan perbaikan setelah 2-4 sesi.","sleep,maintenance,insomnia,tidur,sleep",7
conditions,"Early Morning Awakening","Bisa mengatasi Early Morning Awakening?","Ya, hipnoterapi efektif untuk Early Morning Awakening (bangun terlalu pagi dan tidak bisa tidur lagi). Terapi membantu mengidentifikasi penyebab, mengajarkan sleep hygiene, memprogram ulang pola tidur, dan self-hypnosis untuk relaksasi. Banyak klien merasakan perbaikan setelah 2-4 sesi.","early,morning,awakening,tidur,sleep",7
conditions,"Nightmare Disorder","Bisa mengatasi Nightmare Disorder?","Ya, hipnoterapi efektif untuk Nightmare Disorder (mimpi buruk berulang). Terapi membantu mengidentifikasi penyebab, mengajarkan sleep hygiene, memprogram ulang pola tidur, dan self-hypnosis untuk relaksasi. Banyak klien merasakan perbaikan setelah 2-4 sesi.","nightmare,disorder,tidur,sleep",7
